 -1835942949 4

# GfxFile id name path
0 0 "gfx_missing" "resources/graphics/missing.png"
0 1 "gfx_dlg_npatch" "resources/graphics/npatch.png"
0 2 "gfx_chr_mage" "resources/graphics/mage.png"
0 3 "gfx_npc_lily" "resources/graphics/lily.png"
0 4 "gfx_npc_freye" "resources/graphics/freye.png"
0 5 "gfx_npc_nessa" "resources/graphics/nessa.png"
0 6 "gfx_npc_elane" "resources/graphics/elane.png"
0 7 "gfx_npc_chicken" "resources/graphics/chicken.png"
0 8 "gfx_obj_campfire" "resources/graphics/campfire.png"
0 9 "gfx_prj_fireball" "resources/graphics/fireball.png"
0 10 "gfx_til_overworld" "resources/graphics/tiles64tm.png"
0 11 "gfx_til_auto_grass" "resources/graphics/autotile_3x3_min.png"
0 12 "gfx_til_cave" "resources/graphics/cave.png"

# MusFile id name path
1 0 "mus_bathroom" "resources/music/copyright/O9s5lzHl6W8.wav"
1 1 "mus_ambient_outdoors" "resources/music/copyright/345470__philip_goddard__branscombe-landslip-birds-and-sea-echoes-ese-from-cave-track.ogg"
1 2 "mus_ambient_cave" "resources/music/copyright/69391__zixem__cave_amb.wav"

# SfxFile id name path variations max_instances pitch_variance
2 0 "sfx_missing" "resources/sound/mic_test.wav" 1 10 0.00
2 1 "sfx_soft_tick" "resources/sound/soft_tick.wav" 1 5 0.03
2 2 "sfx_campfire" "resources/sound/campfire.wav" 1 1 0.00
2 3 "sfx_footstep_grass" "resources/sound/footstep_grass.wav" 1 1 0.00
2 4 "sfx_footstep_stone" "resources/sound/footstep_stone.wav" 1 1 0.00
2 5 "sfx_footstep_water" "resources/sound/footstep_water.wav" 1 1 0.00
2 6 "sfx_footstep_wood" "resources/sound/footstep_wood.wav" 1 1 0.00
2 7 "sfx_fireball" "resources/sound/copyright/fireball.wav" 1 5 0.10
2 8 "sfx_chicken_squawk" "resources/sound/copyright/chicken_squawk.wav" 1 10 0.05
2 9 "sfx_chicken_cluck" "resources/sound/copyright/chicken_cluck.wav" 5 10 0.05

# GfxFrame id name gfx x y w h
3 0 "frm_missing" "gfx_missing" 0 0 32 32
3 1 "frm_chr_mage_e_0" "gfx_chr_mage" 0 0 64 128
3 2 "frm_chr_mage_w_0" "gfx_chr_mage" 64 0 64 128
3 3 "frm_npc_lily_e_0" "gfx_npc_lily" 0 0 64 128
3 4 "frm_npc_lily_w_0" "gfx_npc_lily" 64 0 64 128
3 5 "frm_npc_freye_e_0" "gfx_npc_freye" 0 0 64 128
3 6 "frm_npc_freye_w_0" "gfx_npc_freye" 64 0 64 128
3 7 "frm_npc_nessa_e_0" "gfx_npc_nessa" 0 0 64 128
3 8 "frm_npc_nessa_w_0" "gfx_npc_nessa" 64 0 64 128
3 9 "frm_npc_elane_e_0" "gfx_npc_elane" 0 0 64 128
3 10 "frm_npc_elane_w_0" "gfx_npc_elane" 64 0 64 128
3 11 "frm_npc_chicken_e_0" "gfx_npc_chicken" 0 0 64 64
3 12 "frm_npc_chicken_w_0" "gfx_npc_chicken" 64 0 64 64
3 13 "frm_obj_campfire_0" "gfx_obj_campfire" 0 0 256 256
3 14 "frm_obj_campfire_1" "gfx_obj_campfire" 256 0 256 256
3 15 "frm_obj_campfire_2" "gfx_obj_campfire" 512 0 256 256
3 16 "frm_obj_campfire_3" "gfx_obj_campfire" 768 0 256 256
3 17 "frm_obj_campfire_4" "gfx_obj_campfire" 1024 0 256 256
3 18 "frm_obj_campfire_5" "gfx_obj_campfire" 1280 0 256 256
3 19 "frm_obj_campfire_6" "gfx_obj_campfire" 1536 0 256 256
3 20 "frm_obj_campfire_7" "gfx_obj_campfire" 1792 0 256 256
3 21 "frm_prj_fireball_0" "gfx_prj_fireball" 0 0 16 16
3 22 "frm_til_void" "gfx_til_overworld" 0 0 64 64
3 23 "frm_til_stone_path" "gfx_til_overworld" 64 0 64 64
3 24 "frm_til_water_dark_0" "gfx_til_overworld" 128 0 64 64
3 25 "frm_til_water_dark_1" "gfx_til_overworld" 192 0 64 64
3 26 "frm_til_water_dark_2" "gfx_til_overworld" 256 0 64 64
